ts,value,host,itemkey
1755536235,0.422931,Zabbix server,"system.cpu.util[,system]"
1755536269,0.569148,Zabbix server,"system.cpu.util[,system]"
1755536329,1.076921,Zabbix server,"system.cpu.util[,system]"
1755536389,0.653098,Zabbix server,"system.cpu.util[,system]"
1755536449,0.541733,Zabbix server,"system.cpu.util[,system]"
1755536509,0.551371,Zabbix server,"system.cpu.util[,system]"
1755536569,0.745403,Zabbix server,"system.cpu.util[,system]"
1755536629,0.703644,Zabbix server,"system.cpu.util[,system]"
1755536689,0.831156,Zabbix server,"system.cpu.util[,system]"
1755536749,0.816159,Zabbix server,"system.cpu.util[,system]"
1755536809,0.782664,Zabbix server,"system.cpu.util[,system]"
1755536869,0.606558,Zabbix server,"system.cpu.util[,system]"
1755536929,0.849004,Zabbix server,"system.cpu.util[,system]"
1755536989,0.813743,Zabbix server,"system.cpu.util[,system]"
1755537049,0.577621,Zabbix server,"system.cpu.util[,system]"
1755537109,0.629979,Zabbix server,"system.cpu.util[,system]"
1755537169,0.637084,Zabbix server,"system.cpu.util[,system]"
1755537229,0.690183,Zabbix server,"system.cpu.util[,system]"
1755537289,0.628421,Zabbix server,"system.cpu.util[,system]"
1755537350,0.527167,Zabbix server,"system.cpu.util[,system]"
1755537409,1.170376,Zabbix server,"system.cpu.util[,system]"
1755537469,0.89551,Zabbix server,"system.cpu.util[,system]"
1755537529,0.773272,Zabbix server,"system.cpu.util[,system]"
1755537590,0.668007,Zabbix server,"system.cpu.util[,system]"
1755537649,1.042178,Zabbix server,"system.cpu.util[,system]"
1755537709,2.005278,Zabbix server,"system.cpu.util[,system]"
1755537769,4.136061,Zabbix server,"system.cpu.util[,system]"
1755537829,0.980308,Zabbix server,"system.cpu.util[,system]"
1755537889,0.934475,Zabbix server,"system.cpu.util[,system]"
1755537949,1.010287,Zabbix server,"system.cpu.util[,system]"
1755538009,0.710024,Zabbix server,"system.cpu.util[,system]"
1755538069,0.683407,Zabbix server,"system.cpu.util[,system]"
1755538129,0.44518,Zabbix server,"system.cpu.util[,system]"
1755538189,0.77541,Zabbix server,"system.cpu.util[,system]"
1755538249,0.64079,Zabbix server,"system.cpu.util[,system]"
1755538309,3.608619,Zabbix server,"system.cpu.util[,system]"
1755538369,0.841768,Zabbix server,"system.cpu.util[,system]"
1755538429,0.482527,Zabbix server,"system.cpu.util[,system]"
1755538489,0.942058,Zabbix server,"system.cpu.util[,system]"
1755538549,0.666854,Zabbix server,"system.cpu.util[,system]"
