ts,value,host,itemkey
1755536090,0.296752,Zabbix server,"system.cpu.util[,user]"
1755536235,0.448223,Zabbix server,"system.cpu.util[,user]"
1755536270,0.600056,Zabbix server,"system.cpu.util[,user]"
1755536330,2.5477,Zabbix server,"system.cpu.util[,user]"
1755536390,2.16201,Zabbix server,"system.cpu.util[,user]"
1755536450,1.940528,Zabbix server,"system.cpu.util[,user]"
1755536510,1.286621,Zabbix server,"system.cpu.util[,user]"
1755536570,2.421671,Zabbix server,"system.cpu.util[,user]"
1755536631,2.353804,Zabbix server,"system.cpu.util[,user]"
1755536690,2.570371,Zabbix server,"system.cpu.util[,user]"
1755536750,2.373577,Zabbix server,"system.cpu.util[,user]"
1755536810,2.801038,Zabbix server,"system.cpu.util[,user]"
1755536870,1.983752,Zabbix server,"system.cpu.util[,user]"
1755536930,2.374946,Zabbix server,"system.cpu.util[,user]"
1755536990,2.395718,Zabbix server,"system.cpu.util[,user]"
1755537050,1.34769,Zabbix server,"system.cpu.util[,user]"
1755537110,2.034157,Zabbix server,"system.cpu.util[,user]"
1755537170,2.071133,Zabbix server,"system.cpu.util[,user]"
1755537230,2.296036,Zabbix server,"system.cpu.util[,user]"
1755537290,2.163076,Zabbix server,"system.cpu.util[,user]"
1755537350,1.320025,Zabbix server,"system.cpu.util[,user]"
1755537410,3.308834,Zabbix server,"system.cpu.util[,user]"
1755537470,2.737288,Zabbix server,"system.cpu.util[,user]"
1755537530,2.526603,Zabbix server,"system.cpu.util[,user]"
1755537590,1.791666,Zabbix server,"system.cpu.util[,user]"
1755537650,3.67193,Zabbix server,"system.cpu.util[,user]"
1755537711,4.252956,Zabbix server,"system.cpu.util[,user]"
1755537770,8.486541,Zabbix server,"system.cpu.util[,user]"
1755537830,1.398981,Zabbix server,"system.cpu.util[,user]"
1755537890,2.750894,Zabbix server,"system.cpu.util[,user]"
1755537950,3.340355,Zabbix server,"system.cpu.util[,user]"
1755538010,2.358176,Zabbix server,"system.cpu.util[,user]"
1755538070,2.224978,Zabbix server,"system.cpu.util[,user]"
1755538130,1.133818,Zabbix server,"system.cpu.util[,user]"
1755538190,2.446236,Zabbix server,"system.cpu.util[,user]"
1755538250,1.978829,Zabbix server,"system.cpu.util[,user]"
1755538310,4.538065,Zabbix server,"system.cpu.util[,user]"
1755538370,2.568957,Zabbix server,"system.cpu.util[,user]"
1755538430,1.209879,Zabbix server,"system.cpu.util[,user]"
1755538490,3.802559,Zabbix server,"system.cpu.util[,user]"
1755538550,2.183866,Zabbix server,"system.cpu.util[,user]"
1755538610,2.073989,Zabbix server,"system.cpu.util[,user]"
1755538670,2.036161,Zabbix server,"system.cpu.util[,user]"
1755538730,1.6279,Zabbix server,"system.cpu.util[,user]"
1755538790,4.753899,Zabbix server,"system.cpu.util[,user]"
1755538850,2.149313,Zabbix server,"system.cpu.util[,user]"
1755538910,2.103873,Zabbix server,"system.cpu.util[,user]"
1755538970,2.68204,Zabbix server,"system.cpu.util[,user]"
1755539030,1.337573,Zabbix server,"system.cpu.util[,user]"
1755539090,2.058214,Zabbix server,"system.cpu.util[,user]"
1755539150,1.940882,Zabbix server,"system.cpu.util[,user]"
1755539210,1.922141,Zabbix server,"system.cpu.util[,user]"
1755539270,2.050316,Zabbix server,"system.cpu.util[,user]"
1755539330,2.314744,Zabbix server,"system.cpu.util[,user]"
1755539390,1.13839,Zabbix server,"system.cpu.util[,user]"
1755539450,2.189365,Zabbix server,"system.cpu.util[,user]"
1755539510,1.975051,Zabbix server,"system.cpu.util[,user]"
1755539570,2.108004,Zabbix server,"system.cpu.util[,user]"
1755539630,1.768925,Zabbix server,"system.cpu.util[,user]"
1755539690,1.759,Zabbix server,"system.cpu.util[,user]"
1755539750,4.650763,Zabbix server,"system.cpu.util[,user]"
1755539810,2.127127,Zabbix server,"system.cpu.util[,user]"
1755539870,2.65681,Zabbix server,"system.cpu.util[,user]"
1755539930,1.898893,Zabbix server,"system.cpu.util[,user]"
1755539990,2.768393,Zabbix server,"system.cpu.util[,user]"
1755540050,2.178352,Zabbix server,"system.cpu.util[,user]"
1755540110,3.539786,Zabbix server,"system.cpu.util[,user]"
1755540170,3.192171,Zabbix server,"system.cpu.util[,user]"
1755540230,2.144048,Zabbix server,"system.cpu.util[,user]"
1755540290,1.306043,Zabbix server,"system.cpu.util[,user]"
1755540350,0.412115,Zabbix server,"system.cpu.util[,user]"
1755540411,0.601673,Zabbix server,"system.cpu.util[,user]"
1755540470,0.891743,Zabbix server,"system.cpu.util[,user]"
1755540530,1.136729,Zabbix server,"system.cpu.util[,user]"
1755540590,0.481568,Zabbix server,"system.cpu.util[,user]"
1755540650,0.514001,Zabbix server,"system.cpu.util[,user]"
1755540710,0.631315,Zabbix server,"system.cpu.util[,user]"
1755540770,0.555516,Zabbix server,"system.cpu.util[,user]"
1755540830,0.601617,Zabbix server,"system.cpu.util[,user]"
1755540890,0.339532,Zabbix server,"system.cpu.util[,user]"
1755540950,0.354975,Zabbix server,"system.cpu.util[,user]"
1755541010,0.70502,Zabbix server,"system.cpu.util[,user]"
1755541070,1.106749,Zabbix server,"system.cpu.util[,user]"
1755541130,2.096284,Zabbix server,"system.cpu.util[,user]"
1755541190,0.378249,Zabbix server,"system.cpu.util[,user]"
1755541250,0.409551,Zabbix server,"system.cpu.util[,user]"
1755541310,0.410468,Zabbix server,"system.cpu.util[,user]"
1755541370,0.482437,Zabbix server,"system.cpu.util[,user]"
1755541430,0.404201,Zabbix server,"system.cpu.util[,user]"
1755541490,0.33663,Zabbix server,"system.cpu.util[,user]"
1755541550,0.47138,Zabbix server,"system.cpu.util[,user]"
1755541610,0.431649,Zabbix server,"system.cpu.util[,user]"
1755541670,0.461337,Zabbix server,"system.cpu.util[,user]"
1755541730,1.168591,Zabbix server,"system.cpu.util[,user]"
1755541790,0.718215,Zabbix server,"system.cpu.util[,user]"
1755541850,1.58157,Zabbix server,"system.cpu.util[,user]"
1755541910,2.058224,Zabbix server,"system.cpu.util[,user]"
1755541970,1.502908,Zabbix server,"system.cpu.util[,user]"
1755542030,0.434406,Zabbix server,"system.cpu.util[,user]"
1755542090,0.332235,Zabbix server,"system.cpu.util[,user]"
1755542150,0.538328,Zabbix server,"system.cpu.util[,user]"
1755542210,1.051132,Zabbix server,"system.cpu.util[,user]"
1755542270,0.395731,Zabbix server,"system.cpu.util[,user]"
1755542330,0.354931,Zabbix server,"system.cpu.util[,user]"
1755542390,0.331037,Zabbix server,"system.cpu.util[,user]"
1755542450,0.399299,Zabbix server,"system.cpu.util[,user]"
1755542510,0.397445,Zabbix server,"system.cpu.util[,user]"
1755542570,0.330973,Zabbix server,"system.cpu.util[,user]"
1755542630,0.327225,Zabbix server,"system.cpu.util[,user]"
1755542690,0.334108,Zabbix server,"system.cpu.util[,user]"
