ts,value,host,itemkey
1755542539,0.359204,Prometheus,"system.cpu.util[,user]"
1755542599,0.328618,Prometheus,"system.cpu.util[,user]"
1755542659,0.321646,Prometheus,"system.cpu.util[,user]"
1755542719,0.432076,Prometheus,"system.cpu.util[,user]"
1755542779,0.432437,Prometheus,"system.cpu.util[,user]"
1755542839,0.377828,Prometheus,"system.cpu.util[,user]"
1755542899,0.329228,Prometheus,"system.cpu.util[,user]"
1755542959,0.425372,Prometheus,"system.cpu.util[,user]"
1755543019,0.373861,Prometheus,"system.cpu.util[,user]"
1755543079,0.431665,Prometheus,"system.cpu.util[,user]"
1755543139,0.382727,Prometheus,"system.cpu.util[,user]"
1755543199,0.353465,Prometheus,"system.cpu.util[,user]"
1755543259,0.424227,Prometheus,"system.cpu.util[,user]"
1755543319,1.162166,Prometheus,"system.cpu.util[,user]"
